0.35, 0.47, 0.35, 0.36, 0.45, 0.33, 0.36, 0.31, 0.31, 0.39
0.44, 0.44, 0.51, 0.43, 0.47, 0.45, 0.4, 0.37, 0.44, 0.51
0.19, 0.21, 0.15, 0.15, 0.21, 0.29, 0.25, 0.19, 0.21, 0.15
0.31, 0.35, 0.36, 0.37, 0.37, 0.35, 0.35, 0.36, 0.31, 0.37
0.29, 0.19, 0.17, 0.24, 0.21, 0.19, 0.25, 0.21, 0.29, 0.25
0.37, 0.31, 0.29, 0.35, 0.4, 0.33, 0.39, 0.37, 0.31, 0.4 
0.55, 0.41, 0.55, 0.4, 0.51, 0.44, 0.4, 0.43, 0.43, 0.44
0.35, 0.25, 0.28, 0.29, 0.36, 0.31, 0.29, 0.35, 0.28, 0.25
0.45, 0.36, 0.36, 0.36, 0.4, 0.45, 0.41, 0.45, 0.33, 0.31
0.37, 0.49, 0.36, 0.36, 0.49, 0.45, 0.33, 0.31, 0.39, 0.36
0.31, 0.31, 0.37, 0.29, 0.36, 0.37, 0.29, 0.31, 0.33, 0.35
0.35, 0.31, 0.36, 0.29, 0.39, 0.36, 0.33, 0.31, 0.37, 0.35
0.31, 0.23, 0.23, 0.31, 0.27, 0.35, 0.31, 0.27, 0.31, 0.33
0.31, 0.4, 0.31, 0.4, 0.29, 0.31, 0.31, 0.33, 0.4, 0.29
0.27, 0.19, 0.17, 0.24, 0.33, 0.27, 0.27, 0.23, 0.25, 0.29
